"idPot";"numGen";"ecotypeID";"name";"watering"
1;6;9600;"IP-Vis-0";"WD"
2;22;9057;"Vinslöv";"WD"
3;18;6915;"Ei-2";"WD"
4;27;6009;"Eden-1";"WW"
5;19;6898;"An-1";"WD"
6;8;8357;"Pla-0";"WW"
7;9;6970;"Ts-1";"WW"
8;26;8376;"Sanna-2";"WW"
9;18;6915;"Ei-2";"WW"
10;18;6915;"Ei-2";"WW"
11;15;7213;"Ler-0";"WD"
12;24;9470;"Tur-4";"WW"
13;23;6074;"Ör-1";"WW"
14;5;9943;"Cdm-0";"WW"
15;3;9507;"IP-Coa-0";"WW"
16;29;6184;"TBÖ 01";"WW"
17;30;6244;"TRÄ 01";"WD"
18;10;9549;"IP-Hum-2";"WD"
19;9;6970;"Ts-1";"WW"
20;7;9947;"Ped-0";"WW"
21;1;6911;"Cvi-0";"WD"
22;28;6209;"TEDEN 02";"WW"
23;29;6184;"TBÖ 01";"WD"
24;23;6074;"Ör-1";"WD"
25;10;9549;"IP-Hum-2";"WD"
26;6;9600;"IP-Vis-0";"WD"
27;1;6911;"Cvi-0";"WD"
28;22;9057;"Vinslöv";"WW"
29;13;7298;"Pi-0";"WW"
30;14;8311;"In-0";"WD"
31;11;6897;"Ag-0";"WD"
32;7;9947;"Ped-0";"WD"
33;29;6184;"TBÖ 01";"WW"
34;25;6177;"TÄL 03";"WD"
35;4;9544;"IP-Gua-1";"WD"
36;9;6970;"Ts-1";"WW"
37;30;6244;"TRÄ 01";"WW"
38;10;9549;"IP-Hum-2";"WD"
39;7;9947;"Ped-0";"WD"
40;27;6009;"Eden-1";"WW"
41;2;9537;"IP-Cum-1";"WD"
42;23;6074;"Ör-1";"WW"
43;5;9943;"Cdm-0";"WD"
44;8;8357;"Pla-0";"WW"
45;5;9943;"Cdm-0";"WD"
46;25;6177;"TÄL 03";"WD"
47;13;7298;"Pi-0";"WW"
48;27;6009;"Eden-1";"WW"
49;25;6177;"TÄL 03";"WW"
50;15;7213;"Ler-0";"WW"
51;6;9600;"IP-Vis-0";"WD"
52;4;9544;"IP-Gua-1";"WW"
53;10;9549;"IP-Hum-2";"WW"
54;1;6911;"Cvi-0";"WD"
55;27;6009;"Eden-1";"WW"
56;17;7092;"Com-1";"WD"
57;21;8240;"Kulturen-1";"WD"
58;9;6970;"Ts-1";"WD"
59;8;8357;"Pla-0";"WD"
60;28;6209;"TEDEN 02";"WD"
61;8;8357;"Pla-0";"WD"
62;17;7092;"Com-1";"WW"
63;3;9507;"IP-Coa-0";"WD"
64;22;9057;"Vinslöv";"WD"
65;17;7092;"Com-1";"WW"
66;17;7092;"Com-1";"WW"
67;25;6177;"TÄL 03";"WD"
68;28;6209;"TEDEN 02";"WW"
69;27;6009;"Eden-1";"WD"
70;1;6911;"Cvi-0";"WW"
71;1;6911;"Cvi-0";"WW"
72;7;9947;"Ped-0";"WD"
73;6;9600;"IP-Vis-0";"WW"
74;11;6897;"Ag-0";"WW"
75;9;6970;"Ts-1";"WW"
76;10;9549;"IP-Hum-2";"WD"
77;13;7298;"Pi-0";"WD"
78;23;6074;"Ör-1";"WD"
79;11;6897;"Ag-0";"WW"
80;25;6177;"TÄL 03";"WD"
81;23;6074;"Ör-1";"WW"
82;30;6244;"TRÄ 01";"WD"
83;17;7092;"Com-1";"WD"
84;24;9470;"Tur-4";"WD"
85;12;6958;"Ra-0";"WW"
86;14;8311;"In-0";"WD"
87;2;9537;"IP-Cum-1";"WD"
88;29;6184;"TBÖ 01";"WW"
89;11;6897;"Ag-0";"WD"
90;25;6177;"TÄL 03";"WW"
91;27;6009;"Eden-1";"WW"
92;22;9057;"Vinslöv";"WD"
93;13;7298;"Pi-0";"WD"
94;4;9544;"IP-Gua-1";"WD"
95;25;6177;"TÄL 03";"WD"
96;21;8240;"Kulturen-1";"WD"
97;11;6897;"Ag-0";"WD"
98;12;6958;"Ra-0";"WD"
99;3;9507;"IP-Coa-0";"WW"
100;12;6958;"Ra-0";"WD"
101;19;6898;"An-1";"WW"
102;3;9507;"IP-Coa-0";"WW"
103;8;8357;"Pla-0";"WD"
104;28;6209;"TEDEN 02";"WW"
105;21;8240;"Kulturen-1";"WW"
106;30;6244;"TRÄ 01";"WD"
107;24;9470;"Tur-4";"WD"
108;3;9507;"IP-Coa-0";"WW"
109;15;7213;"Ler-0";"WW"
110;16;6959;"Rennes-1";"WW"
111;29;6184;"TBÖ 01";"WD"
112;4;9544;"IP-Gua-1";"WW"
113;23;6074;"Ör-1";"WW"
114;28;6209;"TEDEN 02";"WW"
115;10;9549;"IP-Hum-2";"WD"
116;28;6209;"TEDEN 02";"WD"
117;27;6009;"Eden-1";"WW"
118;3;9507;"IP-Coa-0";"WD"
119;18;6915;"Ei-2";"WD"
120;23;6074;"Ör-1";"WD"
121;4;9544;"IP-Gua-1";"WW"
122;3;9507;"IP-Coa-0";"WD"
123;14;8311;"In-0";"WW"
124;7;9947;"Ped-0";"WD"
125;26;8376;"Sanna-2";"WW"
126;16;6959;"Rennes-1";"WD"
127;18;6915;"Ei-2";"WW"
128;27;6009;"Eden-1";"WW"
129;4;9544;"IP-Gua-1";"WW"
130;14;8311;"In-0";"WD"
131;15;7213;"Ler-0";"WW"
132;28;6209;"TEDEN 02";"WD"
133;3;9507;"IP-Coa-0";"WD"
134;20;7382;"Utrecht";"WD"
135;14;8311;"In-0";"WD"
136;29;6184;"TBÖ 01";"WW"
137;13;7298;"Pi-0";"WW"
138;27;6009;"Eden-1";"WW"
139;21;8240;"Kulturen-1";"WW"
140;3;9507;"IP-Coa-0";"WW"
141;7;9947;"Ped-0";"WD"
142;16;6959;"Rennes-1";"WW"
143;12;6958;"Ra-0";"WD"
144;1;6911;"Cvi-0";"WD"
145;17;7092;"Com-1";"WW"
146;7;9947;"Ped-0";"WW"
147;16;6959;"Rennes-1";"WW"
148;18;6915;"Ei-2";"WD"
149;4;9544;"IP-Gua-1";"WD"
150;27;6009;"Eden-1";"WD"
151;20;7382;"Utrecht";"WW"
152;20;7382;"Utrecht";"WD"
153;20;7382;"Utrecht";"WW"
154;26;8376;"Sanna-2";"WD"
155;8;8357;"Pla-0";"WD"
156;4;9544;"IP-Gua-1";"WD"
157;27;6009;"Eden-1";"WD"
158;11;6897;"Ag-0";"WW"
159;5;9943;"Cdm-0";"WW"
160;16;6959;"Rennes-1";"WD"
161;14;8311;"In-0";"WW"
162;12;6958;"Ra-0";"WW"
163;11;6897;"Ag-0";"WW"
164;19;6898;"An-1";"WW"
165;9;6970;"Ts-1";"WW"
166;1;6911;"Cvi-0";"WW"
167;17;7092;"Com-1";"WD"
168;24;9470;"Tur-4";"WW"
169;26;8376;"Sanna-2";"WW"
170;5;9943;"Cdm-0";"WW"
171;1;6911;"Cvi-0";"WW"
172;26;8376;"Sanna-2";"WD"
173;23;6074;"Ör-1";"WD"
174;16;6959;"Rennes-1";"WD"
175;13;7298;"Pi-0";"WD"
176;18;6915;"Ei-2";"WW"
177;23;6074;"Ör-1";"WW"
178;5;9943;"Cdm-0";"WD"
179;7;9947;"Ped-0";"WW"
180;16;6959;"Rennes-1";"WD"
181;26;8376;"Sanna-2";"WD"
182;22;9057;"Vinslöv";"WW"
183;22;9057;"Vinslöv";"WW"
184;14;8311;"In-0";"WD"
185;3;9507;"IP-Coa-0";"WW"
186;2;9537;"IP-Cum-1";"WW"
187;22;9057;"Vinslöv";"WD"
188;4;9544;"IP-Gua-1";"WD"
189;23;6074;"Ör-1";"WW"
190;10;9549;"IP-Hum-2";"WW"
191;2;9537;"IP-Cum-1";"WD"
192;13;7298;"Pi-0";"WW"
193;26;8376;"Sanna-2";"WW"
194;8;8357;"Pla-0";"WW"
195;9;6970;"Ts-1";"WW"
196;27;6009;"Eden-1";"WD"
197;22;9057;"Vinslöv";"WW"
198;28;6209;"TEDEN 02";"WW"
199;16;6959;"Rennes-1";"WD"
200;18;6915;"Ei-2";"WD"
201;4;9544;"IP-Gua-1";"WW"
202;4;9544;"IP-Gua-1";"WD"
203;12;6958;"Ra-0";"WD"
204;14;8311;"In-0";"WW"
205;10;9549;"IP-Hum-2";"WW"
206;6;9600;"IP-Vis-0";"WW"
207;29;6184;"TBÖ 01";"WD"
208;26;8376;"Sanna-2";"WW"
209;4;9544;"IP-Gua-1";"WD"
210;12;6958;"Ra-0";"WD"
211;4;9544;"IP-Gua-1";"WD"
212;2;9537;"IP-Cum-1";"WD"
213;17;7092;"Com-1";"WD"
214;20;7382;"Utrecht";"WW"
215;12;6958;"Ra-0";"WD"
216;15;7213;"Ler-0";"WD"
217;16;6959;"Rennes-1";"WW"
218;22;9057;"Vinslöv";"WW"
219;23;6074;"Ör-1";"WD"
220;11;6897;"Ag-0";"WW"
221;9;6970;"Ts-1";"WD"
222;14;8311;"In-0";"WW"
223;2;9537;"IP-Cum-1";"WD"
224;21;8240;"Kulturen-1";"WD"
225;22;9057;"Vinslöv";"WW"
226;25;6177;"TÄL 03";"WW"
227;29;6184;"TBÖ 01";"WD"
228;16;6959;"Rennes-1";"WW"
229;15;7213;"Ler-0";"WD"
230;20;7382;"Utrecht";"WD"
231;19;6898;"An-1";"WD"
232;19;6898;"An-1";"WW"
233;3;9507;"IP-Coa-0";"WW"
234;9;6970;"Ts-1";"WD"
235;20;7382;"Utrecht";"WW"
236;18;6915;"Ei-2";"WD"
237;9;6970;"Ts-1";"WW"
238;28;6209;"TEDEN 02";"WD"
239;4;9544;"IP-Gua-1";"WW"
240;16;6959;"Rennes-1";"WD"
241;19;6898;"An-1";"WW"
242;15;7213;"Ler-0";"WD"
243;11;6897;"Ag-0";"WW"
244;30;6244;"TRÄ 01";"WD"
245;18;6915;"Ei-2";"WW"
246;8;8357;"Pla-0";"WW"
247;21;8240;"Kulturen-1";"WW"
248;5;9943;"Cdm-0";"WD"
249;11;6897;"Ag-0";"WD"
250;26;8376;"Sanna-2";"WD"
251;23;6074;"Ör-1";"WW"
252;17;7092;"Com-1";"WW"
253;3;9507;"IP-Coa-0";"WD"
254;8;8357;"Pla-0";"WD"
255;30;6244;"TRÄ 01";"WD"
256;15;7213;"Ler-0";"WW"
257;3;9507;"IP-Coa-0";"WD"
258;24;9470;"Tur-4";"WW"
259;30;6244;"TRÄ 01";"WW"
260;6;9600;"IP-Vis-0";"WD"
261;1;6911;"Cvi-0";"WW"
262;1;6911;"Cvi-0";"WW"
263;27;6009;"Eden-1";"WD"
264;19;6898;"An-1";"WD"
265;29;6184;"TBÖ 01";"WW"
266;2;9537;"IP-Cum-1";"WW"
267;20;7382;"Utrecht";"WD"
268;21;8240;"Kulturen-1";"WD"
269;6;9600;"IP-Vis-0";"WD"
270;26;8376;"Sanna-2";"WD"
271;13;7298;"Pi-0";"WD"
272;7;9947;"Ped-0";"WW"
273;25;6177;"TÄL 03";"WD"
274;19;6898;"An-1";"WW"
275;30;6244;"TRÄ 01";"WW"
276;19;6898;"An-1";"WW"
277;19;6898;"An-1";"WD"
278;2;9537;"IP-Cum-1";"WD"
279;24;9470;"Tur-4";"WD"
280;22;9057;"Vinslöv";"WD"
281;24;9470;"Tur-4";"WD"
282;20;7382;"Utrecht";"WW"
283;7;9947;"Ped-0";"WW"
284;3;9507;"IP-Coa-0";"WD"
285;28;6209;"TEDEN 02";"WD"
286;27;6009;"Eden-1";"WD"
287;11;6897;"Ag-0";"WD"
288;12;6958;"Ra-0";"WW"
289;25;6177;"TÄL 03";"WW"
290;1;6911;"Cvi-0";"WD"
291;23;6074;"Ör-1";"WW"
292;10;9549;"IP-Hum-2";"WW"
293;11;6897;"Ag-0";"WD"
294;12;6958;"Ra-0";"WW"
295;17;7092;"Com-1";"WD"
296;2;9537;"IP-Cum-1";"WW"
297;7;9947;"Ped-0";"WD"
298;26;8376;"Sanna-2";"WD"
299;11;6897;"Ag-0";"WD"
300;8;8357;"Pla-0";"WW"
301;28;6209;"TEDEN 02";"WW"
302;6;9600;"IP-Vis-0";"WW"
303;19;6898;"An-1";"WW"
304;17;7092;"Com-1";"WW"
305;14;8311;"In-0";"WD"
306;24;9470;"Tur-4";"WW"
307;5;9943;"Cdm-0";"WW"
308;10;9549;"IP-Hum-2";"WD"
309;19;6898;"An-1";"WD"
310;13;7298;"Pi-0";"WD"
311;25;6177;"TÄL 03";"WW"
312;19;6898;"An-1";"WW"
313;28;6209;"TEDEN 02";"WW"
314;10;9549;"IP-Hum-2";"WW"
315;16;6959;"Rennes-1";"WW"
316;1;6911;"Cvi-0";"WD"
317;29;6184;"TBÖ 01";"WW"
318;4;9544;"IP-Gua-1";"WW"
319;11;6897;"Ag-0";"WD"
320;21;8240;"Kulturen-1";"WW"
321;25;6177;"TÄL 03";"WW"
322;22;9057;"Vinslöv";"WD"
323;13;7298;"Pi-0";"WD"
324;8;8357;"Pla-0";"WW"
325;1;6911;"Cvi-0";"WW"
326;20;7382;"Utrecht";"WD"
327;6;9600;"IP-Vis-0";"WD"
328;15;7213;"Ler-0";"WD"
329;21;8240;"Kulturen-1";"WD"
330;21;8240;"Kulturen-1";"WW"
331;16;6959;"Rennes-1";"WD"
332;23;6074;"Ör-1";"WD"
333;5;9943;"Cdm-0";"WW"
334;3;9507;"IP-Coa-0";"WW"
335;26;8376;"Sanna-2";"WW"
336;16;6959;"Rennes-1";"WD"
337;26;8376;"Sanna-2";"WW"
338;13;7298;"Pi-0";"WD"
339;12;6958;"Ra-0";"WD"
340;28;6209;"TEDEN 02";"WD"
341;29;6184;"TBÖ 01";"WD"
342;9;6970;"Ts-1";"WD"
343;14;8311;"In-0";"WW"
344;6;9600;"IP-Vis-0";"WW"
345;20;7382;"Utrecht";"WW"
346;5;9943;"Cdm-0";"WD"
347;20;7382;"Utrecht";"WW"
348;9;6970;"Ts-1";"WD"
349;29;6184;"TBÖ 01";"WW"
350;30;6244;"TRÄ 01";"WD"
351;30;6244;"TRÄ 01";"WW"
352;6;9600;"IP-Vis-0";"WD"
353;10;9549;"IP-Hum-2";"WW"
354;22;9057;"Vinslöv";"WW"
355;30;6244;"TRÄ 01";"WD"
356;7;9947;"Ped-0";"WD"
357;7;9947;"Ped-0";"WD"
358;7;9947;"Ped-0";"WW"
359;16;6959;"Rennes-1";"WW"
360;19;6898;"An-1";"WD"
361;29;6184;"TBÖ 01";"WD"
362;21;8240;"Kulturen-1";"WD"
363;15;7213;"Ler-0";"WW"
364;8;8357;"Pla-0";"WD"
365;12;6958;"Ra-0";"WD"
366;20;7382;"Utrecht";"WD"
367;20;7382;"Utrecht";"WD"
368;28;6209;"TEDEN 02";"WD"
369;26;8376;"Sanna-2";"WD"
370;5;9943;"Cdm-0";"WD"
371;10;9549;"IP-Hum-2";"WD"
372;2;9537;"IP-Cum-1";"WW"
373;14;8311;"In-0";"WD"
374;18;6915;"Ei-2";"WW"
375;16;6959;"Rennes-1";"WD"
376;17;7092;"Com-1";"WW"
377;3;9507;"IP-Coa-0";"WD"
378;2;9537;"IP-Cum-1";"WD"
379;26;8376;"Sanna-2";"WD"
380;5;9943;"Cdm-0";"WD"
381;12;6958;"Ra-0";"WW"
382;9;6970;"Ts-1";"WD"
383;26;8376;"Sanna-2";"WW"
384;5;9943;"Cdm-0";"WD"
385;1;6911;"Cvi-0";"WD"
386;28;6209;"TEDEN 02";"WW"
387;7;9947;"Ped-0";"WW"
388;13;7298;"Pi-0";"WW"
389;12;6958;"Ra-0";"WD"
390;20;7382;"Utrecht";"WW"
391;14;8311;"In-0";"WW"
392;18;6915;"Ei-2";"WW"
393;14;8311;"In-0";"WW"
394;15;7213;"Ler-0";"WW"
395;9;6970;"Ts-1";"WD"
396;12;6958;"Ra-0";"WW"
397;16;6959;"Rennes-1";"WW"
398;2;9537;"IP-Cum-1";"WW"
399;14;8311;"In-0";"WD"
400;21;8240;"Kulturen-1";"WW"
401;25;6177;"TÄL 03";"WW"
402;24;9470;"Tur-4";"WD"
403;30;6244;"TRÄ 01";"WW"
404;25;6177;"TÄL 03";"WD"
405;22;9057;"Vinslöv";"WD"
406;15;7213;"Ler-0";"WD"
407;8;8357;"Pla-0";"WD"
408;8;8357;"Pla-0";"WD"
409;22;9057;"Vinslöv";"WW"
410;6;9600;"IP-Vis-0";"WW"
411;1;6911;"Cvi-0";"WD"
412;5;9943;"Cdm-0";"WW"
413;2;9537;"IP-Cum-1";"WW"
414;12;6958;"Ra-0";"WW"
415;7;9947;"Ped-0";"WW"
416;30;6244;"TRÄ 01";"WD"
417;15;7213;"Ler-0";"WD"
418;30;6244;"TRÄ 01";"WW"
419;12;6958;"Ra-0";"WW"
420;15;7213;"Ler-0";"WD"
421;21;8240;"Kulturen-1";"WD"
422;11;6897;"Ag-0";"WW"
423;20;7382;"Utrecht";"WD"
424;13;7298;"Pi-0";"WW"
425;11;6897;"Ag-0";"WW"
426;24;9470;"Tur-4";"WD"
427;13;7298;"Pi-0";"WW"
428;7;9947;"Ped-0";"WD"
429;23;6074;"Ör-1";"WD"
430;4;9544;"IP-Gua-1";"WW"
431;25;6177;"TÄL 03";"WD"
432;25;6177;"TÄL 03";"WD"
433;11;6897;"Ag-0";"WD"
434;24;9470;"Tur-4";"WW"
435;30;6244;"TRÄ 01";"WW"
436;23;6074;"Ör-1";"WW"
437;28;6209;"TEDEN 02";"WD"
438;23;6074;"Ör-1";"WD"
439;9;6970;"Ts-1";"WD"
440;19;6898;"An-1";"WD"
441;21;8240;"Kulturen-1";"WW"
442;10;9549;"IP-Hum-2";"WD"
443;18;6915;"Ei-2";"WW"
444;29;6184;"TBÖ 01";"WW"
445;10;9549;"IP-Hum-2";"WW"
446;10;9549;"IP-Hum-2";"WW"
447;7;9947;"Ped-0";"WW"
448;24;9470;"Tur-4";"WW"
449;5;9943;"Cdm-0";"WD"
450;1;6911;"Cvi-0";"WW"
451;25;6177;"TÄL 03";"WW"
452;25;6177;"TÄL 03";"WW"
453;17;7092;"Com-1";"WD"
454;10;9549;"IP-Hum-2";"WW"
455;24;9470;"Tur-4";"WD"
456;17;7092;"Com-1";"WD"
457;30;6244;"TRÄ 01";"WW"
458;18;6915;"Ei-2";"WD"
459;13;7298;"Pi-0";"WD"
460;24;9470;"Tur-4";"WW"
461;8;8357;"Pla-0";"WW"
462;23;6074;"Ör-1";"WD"
463;15;7213;"Ler-0";"WW"
464;27;6009;"Eden-1";"WD"
465;4;9544;"IP-Gua-1";"WD"
466;2;9537;"IP-Cum-1";"WW"
467;8;8357;"Pla-0";"WW"
468;5;9943;"Cdm-0";"WW"
469;20;7382;"Utrecht";"WW"
470;8;8357;"Pla-0";"WD"
471;27;6009;"Eden-1";"WD"
472;2;9537;"IP-Cum-1";"WD"
473;5;9943;"Cdm-0";"WW"
474;19;6898;"An-1";"WD"
475;12;6958;"Ra-0";"WW"
476;17;7092;"Com-1";"WD"
477;16;6959;"Rennes-1";"WW"
478;18;6915;"Ei-2";"WD"
479;17;7092;"Com-1";"WW"
480;11;6897;"Ag-0";"WW"
481;29;6184;"TBÖ 01";"WD"
482;21;8240;"Kulturen-1";"WD"
483;4;9544;"IP-Gua-1";"WW"
484;18;6915;"Ei-2";"WD"
485;29;6184;"TBÖ 01";"WD"
486;21;8240;"Kulturen-1";"WW"
487;6;9600;"IP-Vis-0";"WW"
488;14;8311;"In-0";"WW"
489;5;9943;"Cdm-0";"WW"
490;10;9549;"IP-Hum-2";"WD"
491;26;8376;"Sanna-2";"WD"
492;24;9470;"Tur-4";"WD"
493;6;9600;"IP-Vis-0";"WW"
494;22;9057;"Vinslöv";"WD"
495;20;7382;"Utrecht";"WD"
496;26;8376;"Sanna-2";"WW"
497;8;8357;"Pla-0";"WW"
498;24;9470;"Tur-4";"WW"
499;15;7213;"Ler-0";"WW"
500;2;9537;"IP-Cum-1";"WW"
501;6;9600;"IP-Vis-0";"WD"
502;9;6970;"Ts-1";"WW"
503;13;7298;"Pi-0";"WW"
504;6;9600;"IP-Vis-0";"WW"
